TranscriptID	Entrez
ENSGALT00000005259	.
ENSGALT00000044113	431090
ENSGALT00000012609	428683
ENSGALT00000012615	428684
ENSGALT00000012634	422111
ENSGALT00000038224	.
ENSGALT00000045495	426566
ENSGALT00000045073	101750245
ENSGALT00000045073	101750245
ENSGALT00000045073	101751725
ENSGALT00000045073	101751725
ENSGALT00000042989	422112
ENSGALT00000045092	.
ENSGALT00000012666	422113
ENSGALT00000045016	428685
ENSGALT00000012698	422114
ENSGALT00000043105	100859449
ENSGALT00000012869	422115
ENSGALT00000005085	417160
ENSGALT00000005076	417159
ENSGALT00000039254	417158
ENSGALT00000042982	101747893
ENSGALT00000005056	417157
ENSGALT00000034772	417156
ENSGALT00000043009	374273
ENSGALT00000005036	417154
ENSGALT00000043830	776194
ENSGALT00000012890	422116
ENSGALT00000012920	.
ENSGALT00000035050	.
ENSGALT00000005016	.
ENSGALT00000005192	420120
ENSGALT00000005236	771015
ENSGALT00000012930	422118
ENSGALT00000035038	.
ENSGALT00000012934	422119
ENSGALT00000045911	100857896
ENSGALT00000012943	770125
ENSGALT00000012947	422120
ENSGALT00000044022	769979
ENSGALT00000008160	423017
ENSGALT00000004792	101748979
ENSGALT00000008156	423016
ENSGALT00000008148	423015
ENSGALT00000008148	423015
ENSGALT00000008148	100857960
ENSGALT00000008148	100857960
ENSGALT00000008112	770055
ENSGALT00000043136	100858730
ENSGALT00000040518	378922
ENSGALT00000035035	.
ENSGALT00000005309	420123
ENSGALT00000032739	.
ENSGALT00000007713	428837
ENSGALT00000007647	423014
ENSGALT00000005330	420124
ENSGALT00000007565	.
ENSGALT00000007496	426704
ENSGALT00000040985	420127
ENSGALT00000042742	417151
ENSGALT00000007466	423011
ENSGALT00000004719	425954
ENSGALT00000005348	420128
ENSGALT00000018020	.
ENSGALT00000012976	422121
ENSGALT00000034784	777472
ENSGALT00000045880	.
ENSGALT00000004669	417147
ENSGALT00000045900	100859663
ENSGALT00000045382	423010
ENSGALT00000044807	101750922
ENSGALT00000044807	101750922
ENSGALT00000044807	415675
ENSGALT00000044807	415675
ENSGALT00000043156	101750922
ENSGALT00000043156	101750922
ENSGALT00000043156	415675
ENSGALT00000043156	415675
ENSGALT00000032741	.
ENSGALT00000042782	423009
ENSGALT00000007402	423009
ENSGALT00000042756	.
ENSGALT00000007396	423008
ENSGALT00000040143	427535
ENSGALT00000040143	427535
ENSGALT00000040143	100859622
ENSGALT00000040143	100859622
ENSGALT00000044750	427535
ENSGALT00000044750	427535
ENSGALT00000044750	100859622
ENSGALT00000044750	100859622
ENSGALT00000012988	422122
ENSGALT00000044481	100858848
ENSGALT00000044821	100858326
ENSGALT00000045518	100857596
ENSGALT00000044133	100857696
ENSGALT00000004618	395549
ENSGALT00000013002	422123
ENSGALT00000005355	420129
ENSGALT00000029662	.
ENSGALT00000006156	.
ENSGALT00000040443	.
ENSGALT00000013008	386572
ENSGALT00000007198	423007
ENSGALT00000013018	422124
ENSGALT00000013031	.
ENSGALT00000004499	417146
ENSGALT00000001658	417477
ENSGALT00000001658	417477
ENSGALT00000001658	100858362
ENSGALT00000001658	100858362
ENSGALT00000032744	396086
ENSGALT00000007114	423004
ENSGALT00000042917	415832
ENSGALT00000042917	415832
ENSGALT00000042917	100859242
ENSGALT00000042917	100859242
ENSGALT00000044250	423003
ENSGALT00000031342	100859572
ENSGALT00000005424	771142
ENSGALT00000013049	422126
ENSGALT00000040420	770519
ENSGALT00000005535	420130
